id,name,validFrom
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:sjaellands_storkreds/nomination_district:grevekredsen,Grevekredsen,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:sjaellands_storkreds/nomination_district:roskildekredsen,Roskildekredsen,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:sjaellands_storkreds/nomination_district:holbaekkredsen,Holbækkredsen,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:sjaellands_storkreds/nomination_district:kalundborgkredsen,Kalundborgkredsen,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:sjaellands_storkreds/nomination_district:ringstedkredsen,Ringstedkredsen,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:sjaellands_storkreds/nomination_district:slagelsekredsen,Slagelsekredsen,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:fyns_storkreds/nomination_district:odense_oestkredsen,Odense Østkredsen,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:fyns_storkreds/nomination_district:odense_vestkredsen,Odense Vestkredsen,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:fyns_storkreds/nomination_district:odense_sydkredsen,Odense Sydkredsen,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:fyns_storkreds/nomination_district:assenskredsen,Assenskredsen,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:fyns_storkreds/nomination_district:middelfartkredsen,Middelfartkredsen,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:fyns_storkreds/nomination_district:nyborgkredsen,Nyborgkredsen,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:fyns_storkreds/nomination_district:svendborgkredsen,Svendborgkredsen,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:fyns_storkreds/nomination_district:faaborgkredsen,Faaborgkredsen,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:sydjyllands_storkreds/nomination_district:soenderborgkredsen,Sønderborgkredsen,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:sydjyllands_storkreds/nomination_district:aabenraakredsen,Aabenraakredsen,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:sydjyllands_storkreds/nomination_district:toenderkredsen,Tønderkredsen,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:sydjyllands_storkreds/nomination_district:esbjerg_bykredsen,Esbjerg Bykredsen,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:sydjyllands_storkreds/nomination_district:esbjerg_omegnskredsen,Esbjerg Omegnskredsen,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:sydjyllands_storkreds/nomination_district:vardekredsen,Vardekredsen,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:sydjyllands_storkreds/nomination_district:vejenkredsen,Vejenkredsen,2007-01-01
