id,name,sameAs
ocd-division/country:dk,Danmark,
ocd-division/country:dk/autonomous_region:fo,Færøerne,
ocd-division/country:dk/autonomous_region:gl,Grønland,
ocd-division/country:dk/region:hovedstaden,Hovedstaden,
ocd-division/country:dk/region:hovedstaden/ed:bornholm,Bornholm,
ocd-division/country:dk/region:hovedstaden/ed:kobenhaven,København,
ocd-division/country:dk/region:hovedstaden/ed:kobenhavns_omegn,Københavns Omegn,
ocd-division/country:dk/region:hovedstaden/ed:nordsjaelland,Nordsjælland,
ocd-division/country:dk/region:midtjylland-nordjylland,Midtjylland-Nordjylland,
ocd-division/country:dk/region:midtjylland-nordjylland/ed:nordjylland,Nordjylland,
ocd-division/country:dk/region:midtjylland-nordjylland/ed:ostjylland,Østjylland,
ocd-division/country:dk/region:midtjylland-nordjylland/ed:westjylland,Vestjylland,
ocd-division/country:dk/region:sjaelland-syddanmark,Sjælland-Syddanmark,
ocd-division/country:dk/region:sjaelland-syddanmark/ed:fyn,Fyn,
ocd-division/country:dk/region:sjaelland-syddanmark/ed:sjaelland,Sjælland,
ocd-division/country:dk/region:sjaelland-syddanmark/ed:sydjylland,Sydjylland,
